               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10023,            0.069587,            0.080079,                   0,                   0,                   0,                   0,            0.097536,            0.066643,            0.079139,             0.00053,             0.00053,             0.09523
                   1,            0.097345,            0.068558,            0.078609,                   0,                   0,                   0,                   0,            0.097056,            0.066779,            0.077525,           0.0010698,           0.0010698,             0.09037
                   2,            0.097174,             0.06952,            0.077334,                   0,                   0,                   0,                   0,            0.097051,            0.066662,            0.076074,           0.0016086,           0.0016086,            0.085509
                   3,            0.097241,            0.070869,            0.076115,                   0,                   0,                   0,                   0,            0.097033,            0.066642,            0.074835,           0.0021457,           0.0021457,            0.080646
                   4,             0.09675,            0.070773,            0.074883,                   0,                   0,                   0,                   0,            0.096977,             0.06668,            0.073597,           0.0026805,           0.0026805,             0.07578
                   5,            0.097687,            0.068174,            0.073988,                   0,                   0,                   0,                   0,            0.097037,            0.066583,            0.072478,           0.0032121,           0.0032121,            0.070912
                   6,            0.096632,            0.066834,            0.072878,                   0,                   0,                   0,                   0,            0.097038,            0.066586,            0.071458,             0.00374,             0.00374,             0.06604
                   7,             0.09763,            0.072908,            0.071977,                   0,                   0,                   0,                   0,            0.096991,            0.066641,            0.070534,           0.0042633,           0.0042633,            0.061163
                   8,            0.097151,            0.069793,            0.071716,                   0,                   0,                   0,                   0,            0.097044,            0.066582,            0.069768,           0.0047814,           0.0047814,            0.056281
                   9,            0.096779,            0.068766,            0.070659,                   0,                   0,                   0,                   0,            0.096981,            0.066615,            0.069116,           0.0052937,           0.0052937,            0.051394
                  10,            0.097352,            0.067507,            0.070414,                   0,                   0,                   0,                   0,            0.096958,            0.066627,            0.068522,           0.0057994,           0.0057994,            0.046499
                  11,            0.096956,            0.067511,            0.070065,          2.4074e-05,           0.0048148,          1.5288e-05,          3.7612e-06,             0.09701,            0.066584,            0.067995,           0.0062979,           0.0062979,            0.041598
                  12,            0.097346,            0.069369,            0.069196,          2.5926e-05,           0.0051852,          1.6389e-05,          3.8713e-06,             0.09694,            0.066654,            0.067531,           0.0067885,           0.0067885,            0.036688
                  13,            0.097586,            0.071031,            0.069021,          2.5926e-05,           0.0051852,          1.6369e-05,          4.4248e-06,            0.096993,             0.06664,            0.067132,           0.0072706,           0.0072706,            0.031771
                  14,            0.097022,            0.071623,            0.068455,           2.963e-05,           0.0059259,           1.839e-05,          5.5288e-06,             0.09705,            0.066594,             0.06679,           0.0077435,           0.0077435,            0.026844
                  15,            0.096776,            0.073107,            0.068315,           2.963e-05,           0.0059259,           1.839e-05,          5.4073e-06,            0.097009,            0.066635,            0.066541,           0.0082067,           0.0082067,            0.021907
                  16,            0.097001,             0.07088,            0.068456,          2.2222e-05,           0.0044444,          1.4481e-05,          3.7673e-06,            0.097024,            0.066616,            0.066326,           0.0086596,           0.0086596,             0.01696
                  17,            0.096529,            0.067748,            0.068268,          2.2222e-05,           0.0044444,          1.4481e-05,          3.6669e-06,            0.096972,            0.066642,            0.066155,           0.0091015,           0.0091015,            0.012002
                  18,            0.097368,            0.069144,            0.067925,          2.5926e-05,           0.0051852,          2.2724e-05,          4.5917e-06,            0.096938,            0.066637,            0.066001,           0.0092995,           0.0092995,           0.0092995
                  19,            0.096688,            0.069025,            0.067837,          2.4074e-05,           0.0048148,          1.5841e-05,          3.5946e-06,            0.096983,            0.066614,            0.065862,           0.0092995,           0.0092995,           0.0092995
                  20,            0.097496,            0.073789,            0.067455,          2.4074e-05,           0.0048148,          1.5551e-05,               4e-06,            0.097015,            0.066605,            0.065717,           0.0092219,           0.0092219,           0.0092219
                  21,            0.097645,            0.072563,            0.067699,          2.4074e-05,           0.0048148,          1.5543e-05,           4.355e-06,            0.097049,            0.066588,             0.06559,           0.0091406,           0.0091406,           0.0091406
                  22,            0.097413,            0.071671,            0.067216,          2.4074e-05,           0.0048148,          1.5543e-05,           4.355e-06,            0.097023,            0.066625,            0.065459,           0.0090557,           0.0090557,           0.0090557
                  23,            0.096933,            0.068757,            0.067445,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.097001,             0.06664,            0.065347,           0.0089673,           0.0089673,           0.0089673
                  24,            0.097136,            0.069516,            0.067461,          1.2963e-05,           0.0025926,          8.2779e-06,          1.9328e-06,            0.096937,            0.066675,            0.065232,           0.0088755,           0.0088755,           0.0088755
                  25,            0.097001,            0.070283,            0.067066,          1.1111e-05,           0.0022222,          7.0741e-06,           1.997e-06,            0.096907,            0.066684,            0.065134,           0.0087804,           0.0087804,           0.0087804
                  26,            0.097209,            0.070204,            0.067196,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096986,            0.066634,            0.065036,            0.008682,            0.008682,            0.008682
                  27,            0.097299,            0.070762,            0.066389,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,               0.097,            0.066617,            0.064945,           0.0085805,           0.0085805,           0.0085805
                  28,            0.097639,            0.068866,            0.067214,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096993,            0.066627,            0.064855,           0.0084759,           0.0084759,           0.0084759
                  29,            0.096783,            0.068358,            0.066933,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096985,             0.06664,            0.064784,           0.0083684,           0.0083684,           0.0083684
                  30,            0.097416,            0.068304,            0.066945,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096974,            0.066647,             0.06471,           0.0082581,           0.0082581,           0.0082581
                  31,            0.097598,            0.072772,            0.066747,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096987,            0.066643,            0.064644,            0.008145,            0.008145,            0.008145
                  32,            0.097001,            0.069265,            0.066319,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096985,             0.06665,            0.064578,           0.0080294,           0.0080294,           0.0080294
                  33,            0.096922,             0.06876,            0.066649,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096962,            0.066649,            0.064516,           0.0079112,           0.0079112,           0.0079112
                  34,            0.097296,            0.069061,            0.066213,          1.1111e-05,           0.0022222,          7.0741e-06,           1.997e-06,            0.096922,            0.066671,            0.064453,           0.0077907,           0.0077907,           0.0077907
                  35,            0.097301,            0.071398,            0.066556,          1.1111e-05,           0.0022222,          7.0741e-06,           1.997e-06,            0.096952,            0.066653,            0.064403,           0.0076679,           0.0076679,           0.0076679
                  36,            0.097008,            0.071638,            0.066363,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.097007,            0.066623,            0.064354,            0.007543,            0.007543,            0.007543
                  37,            0.096927,            0.070898,            0.065576,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.097031,            0.066607,            0.064306,            0.007416,            0.007416,            0.007416
                  38,            0.097092,             0.06797,            0.066531,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.097045,            0.066594,            0.064259,           0.0072872,           0.0072872,           0.0072872
                  39,            0.097708,            0.073759,            0.066263,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.097027,            0.066617,            0.064218,           0.0071566,           0.0071566,           0.0071566
                  40,            0.097143,            0.070505,            0.066508,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096999,            0.066627,            0.064179,           0.0070243,           0.0070243,           0.0070243
                  41,            0.097608,             0.06949,            0.066215,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096986,            0.066632,            0.064146,           0.0068906,           0.0068906,           0.0068906
                  42,            0.097499,            0.069636,              0.0666,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096991,            0.066638,            0.064112,           0.0067555,           0.0067555,           0.0067555
                  43,            0.097025,            0.067892,            0.065614,          1.2963e-05,           0.0025926,          8.2779e-06,          1.9328e-06,            0.096975,            0.066638,            0.064083,           0.0066191,           0.0066191,           0.0066191
                  44,            0.097057,            0.071918,             0.06626,          1.2963e-05,           0.0025926,          8.2779e-06,          2.1174e-06,            0.096964,            0.066637,            0.064052,           0.0064816,           0.0064816,           0.0064816
                  45,            0.097124,            0.069767,            0.066301,          1.2963e-05,           0.0025926,          8.2779e-06,          2.1174e-06,            0.096953,            0.066651,            0.064028,           0.0063432,           0.0063432,           0.0063432
                  46,            0.097169,            0.067455,            0.065923,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096967,             0.06664,            0.064002,            0.006204,            0.006204,            0.006204
                  47,            0.097362,            0.070969,            0.065638,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,             0.09698,            0.066641,             0.06398,            0.006064,            0.006064,            0.006064
                  48,            0.096488,            0.069704,            0.066203,          1.2963e-05,           0.0025926,          8.2779e-06,          1.9328e-06,             0.09699,            0.066632,            0.063956,           0.0059235,           0.0059235,           0.0059235
                  49,            0.096679,            0.070709,            0.065839,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096988,            0.066628,            0.063937,           0.0057826,           0.0057826,           0.0057826
                  50,             0.09723,            0.070937,            0.066096,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096979,            0.066647,             0.06392,           0.0056413,           0.0056413,           0.0056413
                  51,            0.096968,            0.067368,             0.06544,          1.2963e-05,           0.0025926,          8.2779e-06,          2.1174e-06,            0.096969,             0.06663,            0.063901,              0.0055,              0.0055,              0.0055
                  52,            0.097172,             0.07134,            0.065475,          1.2963e-05,           0.0025926,          8.2779e-06,          1.9328e-06,            0.096983,            0.066617,            0.063876,           0.0053587,           0.0053587,           0.0053587
                  53,            0.096628,            0.071346,            0.065721,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096998,            0.066622,            0.063855,           0.0052174,           0.0052174,           0.0052174
                  54,             0.09718,            0.071641,            0.065885,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.097028,             0.06661,            0.063834,           0.0050765,           0.0050765,           0.0050765
                  55,            0.096328,            0.067924,            0.066089,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.097021,            0.066615,            0.063822,            0.004936,            0.004936,            0.004936
                  56,            0.097318,            0.072371,            0.065297,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096997,            0.066633,            0.063808,            0.004796,            0.004796,            0.004796
                  57,            0.097174,            0.069755,            0.065851,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096967,            0.066655,            0.063793,           0.0046568,           0.0046568,           0.0046568
                  58,            0.097058,            0.072925,            0.066404,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,             0.09698,             0.06664,             0.06378,           0.0045184,           0.0045184,           0.0045184
                  59,            0.097397,            0.070801,            0.066116,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096999,            0.066633,            0.063774,           0.0043809,           0.0043809,           0.0043809
                  60,            0.096989,            0.066287,            0.065765,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096986,            0.066625,            0.063764,           0.0042445,           0.0042445,           0.0042445
                  61,            0.096963,            0.065693,             0.06625,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096967,            0.066631,            0.063754,           0.0041094,           0.0041094,           0.0041094
                  62,            0.097188,            0.068223,             0.06589,          1.2963e-05,           0.0025926,          8.2779e-06,          2.1174e-06,            0.096951,            0.066641,            0.063746,           0.0039757,           0.0039757,           0.0039757
                  63,            0.097563,            0.071697,            0.065402,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096943,            0.066646,            0.063737,           0.0038434,           0.0038434,           0.0038434
                  64,            0.096967,            0.067991,             0.06582,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,             0.09697,            0.066642,            0.063727,           0.0037128,           0.0037128,           0.0037128
                  65,            0.097417,            0.071259,            0.065251,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.097007,            0.066614,            0.063716,            0.003584,            0.003584,            0.003584
                  66,            0.096564,            0.068656,            0.065622,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.097037,            0.066599,            0.063705,            0.003457,            0.003457,            0.003457
                  67,            0.097361,            0.067337,            0.066167,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.097049,             0.06658,            0.063698,           0.0033321,           0.0033321,           0.0033321
                  68,            0.096923,            0.072151,            0.065506,          1.4815e-05,            0.002963,          9.4741e-06,           2.237e-06,            0.097039,            0.066578,            0.063691,           0.0032093,           0.0032093,           0.0032093
                  69,            0.096655,            0.070393,            0.065872,          1.2963e-05,           0.0025926,          8.2779e-06,          1.9328e-06,            0.097029,            0.066587,            0.063683,           0.0030888,           0.0030888,           0.0030888
                  70,            0.096905,            0.067488,            0.065476,          1.2963e-05,           0.0025926,          8.2779e-06,          2.1174e-06,            0.097004,             0.06661,            0.063679,           0.0029706,           0.0029706,           0.0029706
                  71,            0.097413,            0.070617,            0.066182,          1.2963e-05,           0.0025926,          8.2779e-06,          1.9328e-06,            0.096993,            0.066606,            0.063672,            0.002855,            0.002855,            0.002855
                  72,            0.096601,            0.070212,            0.065478,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096994,            0.066619,            0.063664,           0.0027419,           0.0027419,           0.0027419
                  73,            0.096824,            0.068804,            0.065734,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096987,            0.066634,            0.063659,           0.0026316,           0.0026316,           0.0026316
                  74,            0.097307,            0.070113,            0.065545,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096984,            0.066626,             0.06365,           0.0025241,           0.0025241,           0.0025241
                  75,            0.096778,            0.070703,            0.065314,          1.2963e-05,           0.0025926,          8.2779e-06,          1.9328e-06,            0.096977,            0.066633,            0.063645,           0.0024195,           0.0024195,           0.0024195
                  76,             0.09714,            0.068937,            0.065575,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096973,            0.066635,            0.063637,            0.002318,            0.002318,            0.002318
                  77,            0.096758,            0.069359,            0.065687,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096977,            0.066635,            0.063633,           0.0022196,           0.0022196,           0.0022196
                  78,            0.097175,            0.072865,            0.065687,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096992,             0.06663,            0.063629,           0.0021245,           0.0021245,           0.0021245
                  79,            0.097353,             0.07069,            0.065295,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096987,             0.06662,            0.063624,           0.0020327,           0.0020327,           0.0020327
                  80,            0.096937,            0.070018,            0.065653,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096987,            0.066619,             0.06362,           0.0019443,           0.0019443,           0.0019443
                  81,            0.096925,            0.069196,            0.065712,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096995,            0.066622,            0.063615,           0.0018594,           0.0018594,           0.0018594
                  82,            0.097061,            0.070728,            0.065516,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096998,            0.066619,            0.063611,           0.0017781,           0.0017781,           0.0017781
                  83,            0.097468,            0.068256,            0.065269,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.097006,            0.066621,            0.063608,           0.0017005,           0.0017005,           0.0017005
                  84,            0.096857,            0.070954,            0.065002,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.097015,            0.066602,            0.063603,           0.0016267,           0.0016267,           0.0016267
                  85,            0.097029,            0.071396,            0.065603,          1.2963e-05,           0.0025926,          8.2779e-06,          1.9328e-06,            0.097009,            0.066613,              0.0636,           0.0015566,           0.0015566,           0.0015566
                  86,             0.09686,            0.069689,            0.065316,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.097005,            0.066617,            0.063597,           0.0014905,           0.0014905,           0.0014905
                  87,             0.09755,            0.067996,            0.065366,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096992,            0.066631,            0.063593,           0.0014283,           0.0014283,           0.0014283
                  88,            0.096944,            0.070759,            0.065855,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096991,            0.066622,            0.063591,           0.0013701,           0.0013701,           0.0013701
                  89,            0.097005,            0.071182,            0.065991,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096993,            0.066633,            0.063588,            0.001316,            0.001316,            0.001316
                  90,            0.097357,            0.072161,            0.065303,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096987,            0.066624,            0.063585,            0.001266,            0.001266,            0.001266
                  91,             0.09707,            0.068008,            0.065384,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096984,            0.066626,            0.063583,           0.0012202,           0.0012202,           0.0012202
                  92,            0.096974,            0.069325,            0.065812,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096988,            0.066632,            0.063581,           0.0011787,           0.0011787,           0.0011787
                  93,            0.096769,            0.072172,            0.065176,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096993,            0.066635,            0.063579,           0.0011414,           0.0011414,           0.0011414
                  94,            0.097209,            0.065172,            0.065404,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096986,            0.066629,            0.063576,           0.0011084,           0.0011084,           0.0011084
                  95,            0.097374,            0.069869,            0.065437,          1.2963e-05,           0.0025926,          8.2779e-06,          2.1174e-06,            0.096974,            0.066634,            0.063573,           0.0010797,           0.0010797,           0.0010797
                  96,            0.097306,            0.071304,            0.065577,          1.2963e-05,           0.0025926,          8.2779e-06,          1.9328e-06,            0.096975,            0.066637,             0.06357,           0.0010554,           0.0010554,           0.0010554
                  97,            0.097496,            0.071153,            0.065361,          1.2963e-05,           0.0025926,          8.2779e-06,          1.9328e-06,            0.096981,            0.066632,            0.063568,           0.0010355,           0.0010355,           0.0010355
                  98,            0.097064,            0.068733,            0.065324,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,             0.09699,            0.066623,            0.063566,             0.00102,             0.00102,             0.00102
                  99,            0.096836,            0.067714,            0.065394,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096996,            0.066619,            0.063563,           0.0010089,           0.0010089,           0.0010089
